0,463181,498780,531262
1,457293,481439,498914
2,457293,469321,484451
3,447028,462039,480465
4,446570,456616,469453
5,430651,448507,465421
6,430651,442366,455133
7,430651,434747,444602
8,426547,432224,441943
9,420996,428740,432051
10,416045,425870,438700
11,415197,421971,435412
12,414262,418802,430635
13,414262,416522,420338
14,412686,414978,420918
15,412573,413874,416748
16,410474,413187,420520
17,410410,412745,420219
18,410410,411103,414792
19,410410,410485,411269
20,408147,410392,411858
21,408147,410060,412845
22,408147,408895,413854
23,407524,408499,414213
24,406930,408590,414864
25,405271,407697,410121
26,404809,407304,410917
27,401458,406223,408909
28,399711,405052,407185
29,399711,403206,410569
30,398069,400853,406607
31,394368,399429,403916
32,394368,397963,400928
33,392913,395569,399780
34,392913,394146,396261
35,390597,393553,397434
36,390597,392919,398745
37,390597,391697,397202
38,389530,390693,392039
39,387608,390701,397302
40,387588,389278,391376
41,387392,388370,391193
42,385468,387758,394641
43,383586,387069,388204
44,383566,385733,387392
45,383566,385199,391759
46,383373,384741,387714
47,382508,384226,387491
48,381207,383434,387811
49,378835,382764,385998
50,378835,381706,384860
51,378639,380723,384398
52,377972,379417,381378
53,377225,379003,384786
54,376662,378198,381571
55,376426,377967,382188
56,371364,376784,380313
57,367785,375360,378903
58,367785,372917,376721
59,367044,370924,374888
60,366459,369372,371992
61,365868,367889,371729
62,365868,367207,372026
63,363811,366097,369111
64,362289,365856,369781
65,362289,365716,372191
66,361678,364438,367437
67,361251,362969,367747
68,357688,362176,365871
69,357688,360828,363352
70,356333,359536,365587
71,356088,357822,361596
72,354834,357021,359756
73,353751,356073,360316
74,353063,355262,359899
75,351686,354658,359066
76,351686,354008,359540
77,348790,353431,360245
78,348790,352512,356643
79,348790,350765,354970
80,348552,349196,352342
81,346172,348729,351875
82,345039,348140,354296
83,344747,346977,350926
84,343956,346006,348862
85,342955,344734,347008
86,342933,344396,347787
87,342890,344035,346425
88,342217,343478,345695
89,341548,342878,345607
90,339760,342566,345342
91,338840,341593,344689
92,338840,341532,349418
93,338840,340464,344030
94,338840,339724,343894
95,337148,339077,344174
96,337148,338791,341426
97,336530,338929,344360
98,336530,337843,340153
99,336521,336947,338842
0,471579,501216,524790
1,458074,487943,507038
2,463828,478532,494638
3,452111,471132,485899
4,449426,464142,478670
5,449426,456552,476639
6,445376,450579,453495
7,441262,447758,451856
8,436775,444836,453067
9,430924,440800,446208
10,430924,437501,443240
11,429497,434106,439837
12,429497,431349,434232
13,429184,430491,434209
14,426722,429753,432398
15,424334,428564,434009
16,421629,426476,430601
17,421364,423955,427983
18,418909,422519,427048
19,418778,421513,427026
20,418115,420456,424594
21,418115,418784,421435
22,417153,418376,421380
23,417153,418473,421533
24,412631,417305,421835
25,412631,416080,422033
26,410329,414852,420566
27,410329,412727,419407
28,408167,411431,415783
29,407711,410122,413690
30,404910,408450,413411
31,403214,407184,411732
32,401537,405369,409026
33,401537,403657,408280
34,397554,402369,408287
35,397068,400617,405554
36,396341,398192,401938
37,395570,397193,400804
38,394460,396690,399060
39,393865,395709,399297
40,392637,394832,397898
41,392242,393724,396513
42,390071,392755,395430
43,388029,391872,395098
44,387887,390649,395481
45,383394,388451,390863
46,383394,387578,390813
47,383394,386319,390316
48,382532,384039,388099
49,382053,383438,386922
50,382053,383421,386091
51,381099,382621,386956
52,381099,382531,387113
53,380275,381506,384168
54,380275,381099,385451
55,376332,380621,384625
56,376367,380076,382922
57,375189,379025,384739
58,375189,376694,379007
59,375189,375392,376706
60,375104,375186,375189
61,373864,375200,376860
62,373779,374998,375646
63,373770,374515,375189
64,373770,374173,377167
65,370473,373846,376192
66,369784,372662,373781
67,368913,371057,374566
68,367433,370067,372507
69,364676,369226,373941
70,364043,367607,373370
71,363424,365291,368227
72,360926,364903,368240
73,360242,363400,368451
74,357408,361093,366901
75,357408,360433,365368
76,357149,358700,362325
77,357401,357550,358801
78,354915,357993,363906
79,354915,357733,364157
80,354915,356755,360520
81,352200,355240,358785
82,351326,354573,357659
83,350583,353149,357697
84,350254,351829,354701
85,348737,351410,354914
86,348533,350597,356711
87,347498,349378,351057
88,346243,348613,352767
89,346243,347493,348533
90,345945,346530,347543
91,344624,346520,351739
92,344260,345902,348023
93,344260,345205,347822
94,344119,344831,348349
95,344119,344289,345409
96,344119,344344,346854
97,343997,344298,346761
98,343997,344304,347453
99,343997,344529,350965
